Item,User Id,Gender,Age,Date of Transaction,Store,Brand,Location,Category,Price
48,8,Male,66,2017-01-11,The Grill Room,The Grill Room,Causeway Bay,Restaurants,617
49,41,Female,23,2017-01-07,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,3433
50,9,Male,44,2017-02-19,Cinta-J,Cinta-J,Wan Chai,Restaurants,1259
51,37,Female,52,2017-02-14,McDonalds TC,McDonalds,Tung Chung,Fast Food,60
52,16,Female,64,2017-01-18,Flame Japanese Cuisine,Flame Group,Tsim Sha Tsui,Restaurants,836
53,32,Female,42,2017-01-18,StarBucks HK,StarBucks,Tung Chung,Coffee,71
54,23,Female,20,2017-02-20,Hwaduk,Hwanduk,Causeway Bay,Restaurants,475
55,33,Female,53,2016-12-27,The Grill Room,The Grill Room,Causeway Bay,Restaurants,1792
56,16,Female,64,2016-12-13,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,3394
57,12,Male,56,2017-02-11,McDonalds TC,McDonalds,Tung Chung,Fast Food,28
58,19,Female,37,2017-01-28,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,189
59,41,Female,23,2017-02-10,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,173
60,9,Male,44,2017-01-03,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,184
61,40,Female,56,2017-02-18,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1329
62,29,Female,45,2017-02-18,Bombay House,Bombay House,Prince Edward,Restaurants,795
63,25,Male,23,2017-01-10,StarBucks (4426),StarBucks,Central,Coffee,170
64,49,Male,40,2017-01-16,Dominos Central,Dominos,Central,Restaurants,169
65,6,Female,64,2016-12-15,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,339
66,40,Female,56,2016-12-15,Deliveroo,Pure,Hong Kong,Health/Fitness,276
67,1,Male,52,2016-12-24,Glasshouse,Glasshouse,Central,Restaurants,602
68,43,Female,51,2017-01-18,Jaspas PE,Jaspas,Prince Edward,Restaurants,1279
69,44,Female,28,2017-02-12,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,283
70,27,Female,22,2017-01-29,StarBucks 115-4,StarBucks,Sha Tin,Coffee,77
71,15,Male,31,2016-12-21,Wellcome WC 1,Wellcome,Wan Chai,Grocery,888
72,4,Male,62,2016-12-07,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,366
73,35,Male,21,2017-01-14,Park N Shop 154,Park N Shop,Central,Grocery,1030
74,17,Female,19,2016-12-29,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,187
75,4,Male,62,2016-12-27,Park N Shop 784,Park N Shop,Tung Chung,Grocery,309
76,22,Male,67,2017-01-04,Deliveroo,Pure,Hong Kong,Health/Fitness,283
77,8,Male,66,2017-01-18,Deliveroo,Pure,Hong Kong,Health/Fitness,689
78,7,Male,48,2017-02-07,Calimex CWB,Calimex,Causeway Bay,Restaurants,324
79,38,Male,18,2017-02-06,StarBucks (4426),StarBucks,Central,Coffee,104
80,12,Male,56,2017-02-23,Lei Garden Central,Lei Garden,Central,Restaurants,7917
81,40,Female,56,2017-02-06,Jaspas PE,Jaspas,Prince Edward,Restaurants,742
82,16,Female,64,2017-01-23,StarBucks 115-4,StarBucks,Sha Tin,Coffee,165
83,4,Male,62,2016-12-25,Bombay House,Bombay House,Prince Edward,Restaurants,512
84,41,Female,23,2017-01-28,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,204
85,17,Female,19,2017-02-05,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,980
86,32,Female,42,2016-12-10,Lei Garden Central,Lei Garden,Central,Restaurants,4528
87,4,Male,62,2016-12-03,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,330
88,31,Male,53,2016-12-22,Cinta-J,Cinta-J,Wan Chai,Restaurants,364
89,30,Female,36,2016-12-18,McDonalds TC,McDonalds,Tung Chung,Fast Food,104
90,35,Male,21,2016-12-18,StarBucks (4426),StarBucks,Central,Coffee,44
91,24,Female,37,2017-02-24,Glasshouse,Glasshouse,Central,Restaurants,232
92,44,Female,28,2016-12-13,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2826
93,28,Male,65,2017-01-27,Flame Japanese Cuisine,Flame Group,Tsim Sha Tsui,Restaurants,785
94,27,Female,22,2017-02-02,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,151
95,32,Female,42,2017-02-05,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,400
96,23,Female,20,2016-12-27,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,888
97,25,Male,23,2016-12-24,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,447
98,21,Male,19,2017-02-25,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2732
99,32,Female,42,2016-12-25,Dominos Central,Dominos,Central,Restaurants,220
100,7,Male,48,2017-01-23,Wellcome Main 24,Wellcome,Central,Grocery,910
101,22,Male,67,2017-01-13,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,448
102,15,Male,31,2017-02-13,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,289
103,40,Female,56,2017-01-11,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2454
104,46,Female,29,2016-12-23,Wellcome WC 1,Wellcome,Wan Chai,Grocery,1134
105,32,Female,42,2016-12-22,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,1645
106,23,Female,20,2016-12-14,Dominos Central,Dominos,Central,Restaurants,343
107,13,Female,27,2017-01-17,The Grill Room,The Grill Room,Causeway Bay,Restaurants,1185
108,28,Male,65,2016-12-27,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,3711
109,20,Male,26,2017-01-30,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,166
110,21,Male,19,2016-12-25,McDonalds-260-Queens,McDonalds,Central,Fast Food,30
111,26,Male,22,2016-12-31,McDonalds TC,McDonalds,Tung Chung,Fast Food,143
112,9,Male,44,2016-12-23,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,72
113,28,Male,65,2017-01-31,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,256
114,34,Male,57,2017-01-02,McDonalds TC,McDonalds,Tung Chung,Fast Food,177
115,28,Male,65,2017-02-24,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1188
116,26,Male,22,2017-02-26,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,695
117,37,Female,52,2017-01-01,StarBucks WC 2,StarBucks,Wan Chain,Coffee,216
118,3,Male,40,2016-12-31,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,328
119,47,Female,63,2016-12-30,Lei Garden Central,Lei Garden,Central,Restaurants,7989
120,25,Male,23,2016-12-01,Calimex CWB,Calimex,Causeway Bay,Restaurants,494
121,5,Female,42,2017-02-22,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,352
122,23,Female,20,2016-12-19,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,84
123,11,Female,41,2017-02-24,Hwaduk,Hwanduk,Causeway Bay,Restaurants,188
124,27,Female,22,2017-02-03,StarBucks 115-4,StarBucks,Sha Tin,Coffee,96
125,12,Male,56,2017-02-19,Park N Shop 784,Park N Shop,Tung Chung,Grocery,432
126,49,Male,40,2017-01-07,StarBucks 115-4,StarBucks,Sha Tin,Coffee,146
127,7,Male,48,2017-02-10,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,430
128,31,Male,53,2017-02-12,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,251
129,14,Female,29,2017-02-13,Pacific Coffee (4426),Pacific Coffee,Central,Coffee,155
130,35,Male,21,2017-01-04,StarBucks WC 2,StarBucks,Wan Chain,Coffee,67
131,25,Male,23,2017-02-19,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,3621
132,26,Male,22,2017-02-06,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,299
133,39,Female,40,2017-01-28,Deliveroo,Pure,Hong Kong,Health/Fitness,168
134,12,Male,56,2016-12-21,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,3501
135,39,Female,40,2017-01-09,Wellcome WC 1,Wellcome,Wan Chai,Grocery,386
136,10,Male,33,2017-01-08,Park N Shop 154,Park N Shop,Central,Grocery,1143
137,26,Male,22,2016-12-11,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,175
138,28,Male,65,2016-12-13,Flame Japanese Cuisine,Flame Group,Tsim Sha Tsui,Restaurants,423
139,4,Male,62,2017-02-27,StarBucks 115-4,StarBucks,Sha Tin,Coffee,77
140,39,Female,40,2017-02-26,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,149
141,15,Male,31,2017-01-07,Itunes.com/bill,Apple,Itunes.com,Electronics,441
142,33,Female,53,2017-02-17,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,161
143,34,Male,57,2017-02-08,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,61
144,29,Female,45,2017-01-04,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,340
145,34,Male,57,2017-01-12,Wellcome Main 24,Wellcome,Central,Grocery,989
146,7,Male,48,2017-02-15,McDonalds SHA,McDonalds,Sha Tin,Fast Food,45
147,14,Female,29,2017-01-16,Itunes.com/bill,Apple,Itunes.com,Electronics,109
148,19,Female,37,2016-12-10,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,2611
149,5,Female,42,2017-02-11,McDonalds-260-Queens,McDonalds,Central,Fast Food,24
150,26,Male,22,2017-02-28,McDonalds-260-Queens,McDonalds,Central,Fast Food,47
151,39,Female,40,2017-01-03,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,5659
152,50,Male,24,2017-01-29,McDonalds SHA,McDonalds,Sha Tin,Fast Food,133
153,49,Male,40,2017-01-05,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,39
154,25,Male,23,2017-02-03,Pacific Coffee 115-4,Pacific Coffee,Sha Tin,Coffee,126
155,22,Male,67,2017-01-26,McDonalds SHA,McDonalds,Sha Tin,Fast Food,78
156,44,Female,28,2016-12-28,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,1174
157,12,Male,56,2016-12-16,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,235
158,27,Female,22,2016-12-06,Hwaduk,Hwanduk,Causeway Bay,Restaurants,223
159,5,Female,42,2017-01-05,Cinta-J,Cinta-J,Wan Chai,Restaurants,1160
160,33,Female,53,2016-12-25,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,327
161,12,Male,56,2017-01-30,StarBucks HK,StarBucks,Tung Chung,Coffee,202
162,12,Male,56,2017-01-27,Ibon Rae House,Ibon Rae,Central,Restaurants,211
163,36,Female,21,2017-01-23,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,100
164,2,Male,19,2017-02-19,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,2185
165,23,Female,20,2017-02-18,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,618
166,31,Male,53,2016-12-25,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2210
167,26,Male,22,2017-01-30,Lei Garden Central,Lei Garden,Central,Restaurants,7308
168,37,Female,52,2017-01-10,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,883
169,2,Male,19,2017-02-28,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,134
170,4,Male,62,2016-12-03,McDonalds-260-Queens,McDonalds,Central,Fast Food,33
171,40,Female,56,2017-02-23,Park N Shop 154,Park N Shop,Central,Grocery,696
172,4,Male,62,2017-02-06,StarBucks HK,StarBucks,Tung Chung,Coffee,183
173,21,Male,19,2016-12-04,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,585
174,34,Male,57,2017-01-20,Little Vegas,Little Vegas,Causeway Bay,Restaurants,331
175,10,Male,33,2016-12-20,McDonalds SHA,McDonalds,Sha Tin,Fast Food,117
176,38,Male,18,2016-12-01,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,153
177,29,Female,45,2016-12-12,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,452
178,18,Female,51,2017-01-25,McDonalds TC,McDonalds,Tung Chung,Fast Food,161
179,16,Female,64,2017-01-05,StarBucks (4426),StarBucks,Central,Coffee,84
180,27,Female,22,2016-12-02,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,148
181,22,Male,67,2017-02-24,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,175
182,18,Female,51,2016-12-19,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,750
183,20,Male,26,2016-12-06,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,384
184,19,Female,37,2016-12-18,McDonalds SHA,McDonalds,Sha Tin,Fast Food,119
185,26,Male,22,2017-02-27,Pacific Coffee 115-4,Pacific Coffee,Sha Tin,Coffee,156
186,26,Male,22,2017-02-04,Calimex CWB,Calimex,Causeway Bay,Restaurants,124
187,40,Female,56,2017-01-17,Park N Shop 784,Park N Shop,Tung Chung,Grocery,204
188,6,Female,64,2016-12-30,Park N Shop 154,Park N Shop,Central,Grocery,349
189,39,Female,40,2017-01-28,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,184
190,41,Female,23,2017-01-03,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,939
191,30,Female,36,2017-02-18,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,120
192,25,Male,23,2017-02-27,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,1473
193,18,Female,51,2017-02-13,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,444
194,21,Male,19,2017-01-08,Wellcome 81,Wellcome,Tung Chung,Grocery,667
195,16,Female,64,2017-01-13,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,33
196,14,Female,29,2017-01-21,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,124
197,8,Male,66,2017-02-14,Calimex CWB,Calimex,Causeway Bay,Restaurants,281
198,14,Female,29,2016-12-20,Cinta-J,Cinta-J,Wan Chai,Restaurants,775
199,43,Female,51,2017-01-27,Ibon Rae House,Ibon Rae,Central,Restaurants,336
200,18,Female,51,2016-12-17,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,140
201,5,Female,42,2017-01-20,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,308
202,42,Male,60,2016-12-19,Calimex CWB,Calimex,Causeway Bay,Restaurants,323
203,10,Male,33,2017-01-14,McDonalds TC,McDonalds,Tung Chung,Fast Food,70
204,4,Male,62,2016-12-02,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1038
205,15,Male,31,2017-02-15,StarBucks WC 2,StarBucks,Wan Chain,Coffee,234
206,39,Female,40,2016-12-09,Pacific Coffee 115-4,Pacific Coffee,Sha Tin,Coffee,221
207,31,Male,53,2016-12-22,Cinta-J,Cinta-J,Wan Chai,Restaurants,717
208,41,Female,23,2017-02-23,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,418
209,1,Male,52,2017-01-21,Park N Shop 154,Park N Shop,Central,Grocery,521
210,2,Male,19,2016-12-31,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,6487
211,17,Female,19,2017-01-12,Ibon Rae House,Ibon Rae,Central,Restaurants,451
212,35,Male,21,2017-01-07,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,173
213,4,Male,62,2017-02-13,Deliveroo,Pure,Hong Kong,Health/Fitness,428
214,34,Male,57,2016-12-07,Deliveroo,Pure,Hong Kong,Health/Fitness,150
215,30,Female,36,2017-02-13,Bombay House,Bombay House,Prince Edward,Restaurants,757
216,8,Male,66,2017-01-07,StarBucks HK,StarBucks,Tung Chung,Coffee,159
217,15,Male,31,2017-01-09,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,947
218,26,Male,22,2017-01-31,Wellcome 81,Wellcome,Tung Chung,Grocery,456
219,22,Male,67,2017-02-24,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,619
220,46,Female,29,2017-01-05,Dominos Central,Dominos,Central,Restaurants,388
221,14,Female,29,2017-01-18,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,791
222,34,Male,57,2017-01-09,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,332
223,32,Female,42,2017-02-14,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,205
224,50,Male,24,2017-01-20,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,110
225,39,Female,40,2017-02-16,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,971
226,6,Female,64,2016-12-02,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1173
227,30,Female,36,2017-01-17,Ibon Rae House,Ibon Rae,Central,Restaurants,116
228,17,Female,19,2017-01-23,Park N Shop 784,Park N Shop,Tung Chung,Grocery,384
229,7,Male,48,2017-02-27,Pacific Coffee 115-4,Pacific Coffee,Sha Tin,Coffee,108
230,19,Female,37,2017-02-05,Park N Shop 154,Park N Shop,Central,Grocery,918
231,46,Female,29,2016-12-21,Glasshouse,Glasshouse,Central,Restaurants,1480
232,9,Male,44,2017-01-31,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,366
233,48,Male,40,2017-01-18,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,133
234,20,Male,26,2016-12-20,Calimex CWB,Calimex,Causeway Bay,Restaurants,376
235,12,Male,56,2017-02-09,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,184
236,21,Male,19,2016-12-12,The Grill Room,The Grill Room,Causeway Bay,Restaurants,943
237,47,Female,63,2017-01-07,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,151
238,24,Female,37,2017-01-05,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1106
239,37,Female,52,2017-01-28,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,168
240,48,Male,40,2016-12-05,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,565
241,41,Female,23,2017-01-13,StarBucks (4426),StarBucks,Central,Coffee,161
242,10,Male,33,2016-12-14,Lei Garden Central,Lei Garden,Central,Restaurants,4912
243,3,Male,40,2017-02-12,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,304
244,34,Male,57,2017-02-05,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,822
245,25,Male,23,2017-02-24,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,275
246,26,Male,22,2017-02-02,StarBucks HK,StarBucks,Tung Chung,Coffee,86
247,9,Male,44,2017-01-28,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,2884
248,15,Male,31,2017-01-03,McDonalds SHA,McDonalds,Sha Tin,Fast Food,83
249,38,Male,18,2017-02-13,The Grill Room,The Grill Room,Causeway Bay,Restaurants,1127
250,18,Female,51,2017-01-18,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,744
251,50,Male,24,2017-02-15,Little Vegas,Little Vegas,Causeway Bay,Restaurants,165
252,20,Male,26,2017-02-14,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,219
253,44,Female,28,2017-02-10,Glasshouse,Glasshouse,Central,Restaurants,990
254,45,Male,62,2017-01-02,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,554
255,24,Female,37,2017-02-14,Cinta-J,Cinta-J,Wan Chai,Restaurants,953
256,1,Male,52,2017-01-27,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,127
257,23,Female,20,2016-12-10,Wellcome Main 24,Wellcome,Central,Grocery,1027
258,19,Female,37,2017-01-31,Calimex CWB,Calimex,Causeway Bay,Restaurants,372
259,7,Male,48,2017-01-08,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,335
260,17,Female,19,2016-12-13,Calimex CWB,Calimex,Causeway Bay,Restaurants,253
261,35,Male,21,2017-02-02,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,2104
262,4,Male,62,2017-01-04,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2034
263,9,Male,44,2017-01-14,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,144
264,34,Male,57,2016-12-08,Lei Garden Central,Lei Garden,Central,Restaurants,2077
265,17,Female,19,2017-01-19,Deliveroo,Pure,Hong Kong,Health/Fitness,609
266,4,Male,62,2016-12-07,Little Vegas,Little Vegas,Causeway Bay,Restaurants,402
267,32,Female,42,2016-12-27,Dominos Central,Dominos,Central,Restaurants,181
268,4,Male,62,2017-01-21,Jaspas PE,Jaspas,Prince Edward,Restaurants,595
269,48,Male,40,2017-02-18,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,472
270,19,Female,37,2017-01-30,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,197
271,24,Female,37,2017-01-13,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,111
272,50,Male,24,2016-12-07,Wellcome WC 1,Wellcome,Wan Chai,Grocery,304
273,42,Male,60,2017-01-23,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,146
274,11,Female,41,2016-12-17,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,948
275,12,Male,56,2017-01-27,Cinta-J,Cinta-J,Wan Chai,Restaurants,215
276,8,Male,66,2017-01-18,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,440
277,40,Female,56,2017-02-19,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,1355
278,6,Female,64,2017-01-18,Calimex CWB,Calimex,Causeway Bay,Restaurants,277
279,1,Male,52,2016-12-26,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,1159
280,43,Female,51,2017-02-14,Deliveroo,Pure,Hong Kong,Health/Fitness,229
281,33,Female,53,2016-12-30,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,447
282,43,Female,51,2016-12-09,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,64
